	RC	relativizer_word	relativizer_func	RC_modifier	RC_location	RC_context	sentence
1	who gets superpowers and becomes Titan Sign up for the character you 're going to read	who	nsubj	a cameraman	(22, 37)	('cameraman', '.')	Megamind , a supervillain Minion , his sidekick Metro Man , a superhero Roxanne Ritchi , a reporter Hal , a cameraman who gets superpowers and becomes Titan Sign up for the character you 're going to read .
9	who cares for us with his super heart	who	nsubj	a super man	(14, 21)	('man', '!')	We 're here to honor our city 's greatest superhero - a super man who cares for us with his super heart !
171	who dares challenge my evil	who	nsubj	a new hero	(8, 12)	('hero', '.')	: I hear there is a new hero who dares challenge my evil .
308	who loves baseball FLORENCE	who	nsubj	a old girl	(8, 11)	('girl', ':')	GEORGIA BASKIN : a 14-year-old girl who loves baseball FLORENCE :
352	who loves baseball	who	nsubj	the one	(5, 7)	('one', '.')	I 'm the one who loves baseball .
919	that Victor is in jail	that	mark	a text	(5, 9)	('text', '.')	Lindy gets a text that Victor is in jail .
1038	who may be even worse at basketball than I am	who	nsubj	the two guys	(8, 17)	('guys', '.')	""" You are the only two guys who may be even worse at basketball than I am . """
1140	that had Ucked Jerry 's two - year - old cheeks	that	nsubj	the long tongue	(72, 82)	('tongue', 'fell')	Jerry lifted Rex in his arms , refusing any assistance , and carried the old dog to the car , there to lovingly hold him close and dear all the way to the veterinarian , releasing his embrace only when they were about to give Rex his final injection , holding his best friend 's head as his eyes closed , his breath slowed , stopped , and the long tongue that had Ucked Jerry 's two-year-old cheeks fell from his open mouth .
1158	whose details consisted of a sock left in a dryer	whose	poss	a thousand stories	(11, 20)	('stories', ',')	What happened next was the plot of a thousand stories whose details consisted of a sock left in a dryer , a cute smile , conversation over coffee , a brief fling , some disappointment , the inevitable breakup , and finally having Maria as one of his wife 's bridesmaids two years later .
1159	who started on their own independent journey down life 's path	who	nsubj	decent adults	(24, 34)	('adults', '.')	Children followed and , although they gave Jerry more trouble than he felt he deserved , they eventually turned out to be decent adults who started on their own independent journey down life 's path .
1178	that snaked through the bedclothes	that	nsubj	the feeding tube	(30, 34)	('devices', '.')	The drugs took the edge off the pain from the cancer and isolated him from an awareness of the feeding tube , catheter , transfusion , and various monitoring devices that snaked through the bedclothes .
1194	who were busy debating when the caterer was going to serve the food and whether they could sneak a sip of beer when their parents were n't looking	who	nsubj	the great - grandkids	(11, 38)	('grandkids', '.')	*25;268;TOOLONG played between the legs of the great-grandkids who were busy debating when the caterer was going to serve the food and whether they could sneak a sip of beer when their parents were n't looking .
1253	who had begun staying near the campfire	who	nsubj	the small incrippi	(6, 12)	('incrippi', '.')	scraps to the small incrippi who had begun staying near the campfire .
1257	that had chosen to return to the sea survive	that	nsubj	those creatures	(9, 17)	('creatures', '.')	Only in the chill depths did those creatures that had chosen to return to the sea survive .
1276	whom she knew only because they shared the same school	whom	dobj	the same age	(19, 28)	('age', '.')	Uttle shy , a Uttle giggly , nervous at being approached by a boy of the same age whom she knew only because they shared the same school .
1277	who thought this one not just lame , but also cute	who	nsubj	clumsy come - ons	(15, 25)	('ons', '.')	Instead , Betty seemed amused , the veteran of decades of clumsy come-ons who thought this one not just lame , but also cute .
1360	who trained me	who	nsubj	The people	(2, 4)	('people', 'usually')	"The people who trained me usually called it ' self . ' """
1372	who listens to girls in 1964	who	nsubj	Guess	(1, 6)	('Guess', '?')	Guess who listens to girls in 1964 ?
1574	that leaches into the human food supply	that	nsubj	the stuff	(4, 10)	('stuff', ',')	Most of the stuff that leaches into the human food supply , or is deliberately introduced into it because if s thought harmless or even beneficial , comes later .
1586	that had developed immunity to every countermeasure due to clumsy overuse of those countermeasures	that	nsubj	viruses	(10, 23)	('viruses', '.')	Aggravating the assault on mankind were bacteria and viruses that had developed immunity to every countermeasure due to clumsy overuse of those countermeasures .
1591	who sat at the other side of the room and was almost cringing away from her sample of mercury	who	nsubj	Betty	(11, 29)	(',', '.')	This was one of the classes he shared with Betty , who sat at the other side of the room and was almost cringing away from her sample of mercury .
1592	which would roU around and merge back into big globules	which	nsubj	little globules	(31, 40)	('globules', '.')	The other kids were laughing and playing with the stuff , dipping pennies into it to see the copper acquire a silvery coating , and breaking it into little globules which would roU around and merge back into big globules .
1611	that support what you say	that	nsubj	scientific studies	(5, 9)	('studies', ',')	If there are scientific studies that support what you say , and you want some extra credit , why do n't you two produce a paper on the topic ?
1802	that works like the Gestapo	that	nsubj	A time patrol	(3, 7)	('patrol', '.')	"A time patrol that works like the Gestapo . """
1863	who knows how to get a girl 's bra off	who	nsubj	the only boy	(11, 20)	('school', '.')	Especially since you 're probably the only boy in our school who knows how to get a girl 's bra off .
